# kind	name	status	loader	ABI	positive test	unsupported path
command	vkCmdBlitImage	common	src/driver/vulkan.ab mip command recording	src/driver/vulkan.ab packed image blit ABI	tests/application/main.ab exact generated final mip	tests/application/main.ab invalid mip generation rejection
command	vkCmdCopyBufferToImage	common	src/driver/vulkan.ab texture upload	src/driver/vulkan.ab packed buffer image copy ABI	tests/application/main.ab exact texture upload	tests/application/main.ab upload range rejection
command	vkCmdCopyImage	common	src/driver/vulkan.ab texture copy	src/driver/vulkan.ab packed image copy ABI	tests/application/main.ab exact texture copy	tests/application/main.ab incompatible copy rejection
command	vkCmdCopyImageToBuffer	common	src/driver/vulkan.ab texture readback	src/driver/vulkan.ab packed buffer image copy ABI	tests/application/main.ab exact texture readback	tests/application/main.ab readback range rejection
command	vkCmdDraw	common	src/driver/vulkan.ab render command recording	src/driver/vulkan.ab typed extern signature	tests/application/main.ab exact triangle pixels	tests/application/main.ab invalid vertex range rejection
command	vkCmdDrawIndexed	common	src/driver/vulkan.ab indexed render recording	src/driver/vulkan.ab typed extern signature	tests/application/main.ab exact indexed output	tests/application/main.ab invalid index range rejection
command	vkCmdNextSubpass	common	src/driver/vulkan.ab ordered subpass recording	src/driver/vulkan.ab typed extern signature	tests/application/main.ab exact second-subpass MRT pixels	tests/application/main.ab invalid subpass index rejection
command	vkCmdPipelineBarrier	common	src/driver/vulkan.ab image transitions	src/driver/vulkan.ab packed barrier ABI	tests/application/main.ab upload copy resolve and mip transitions	tests/application/main.ab usage validation before recording
command	vkCmdResetQueryPool	common	src/driver/vulkan.ab timestamp reset recording	src/driver/vulkan.ab typed extern signature	tests/application/main.ab repeated timestamp samples	tests/application/main.ab invalid query rejection
command	vkCmdResolveImage	common	src/driver/vulkan.ab explicit resolve recording	src/driver/vulkan.ab packed resolve ABI	tests/application/main.ab exact multisample resolve	tests/application/main.ab incompatible resolve rejection
command	vkCmdWriteTimestamp	common	src/driver/vulkan.ab timestamp recording	src/driver/vulkan.ab typed extern signature	tests/application/main.ab monotonic timestamp samples	tests/application/main.ab invalid query rejection
command	vkCreateFramebuffer	common	src/driver/vulkan.ab target creation	src/driver/vulkan.ab packed framebuffer ABI	tests/application/main.ab MRT multisample framebuffer	tests/application/main.ab incompatible attachment rejection
command	vkCreateImage	common	src/driver/vulkan.ab texture allocation	src/driver/vulkan.ab packed image creation ABI	tests/application/main.ab texture and target creation	tests/application/main.ab invalid descriptor rejection
command	vkCreateImageView	common	src/driver/vulkan.ab texture view creation	src/driver/vulkan.ab packed image view ABI	tests/application/main.ab render and resolve views	tests/application/main.ab incompatible target rejection
command	vkCreateRenderPass	common	src/driver/vulkan.ab render-pass creation	src/driver/vulkan.ab packed render-pass ABI	tests/application/main.ab native multisample resolve pass	tests/application/main.ab invalid render operation rejection
command	vkCreateQueryPool	common	src/driver/vulkan.ab timestamp query creation	src/driver/vulkan.ab packed query-pool ABI	tests/application/main.ab timestamp query creation	tests/application/main.ab invalid application rejection
command	vkDeviceWaitIdle	common	src/driver/vulkan.ab portable idle wait	src/driver/vulkan.ab typed extern signature	tests/application/main.ab repeated application waitIdle	tests/application/main.ab invalid application rejection
command	vkDestroyQueryPool	common	src/driver/vulkan.ab timestamp query lifetime	src/driver/vulkan.ab typed extern signature	tests/application/main.ab affine timestamp query drop	tests/application/main.ab invalid application rejection
command	vkGetPhysicalDeviceFeatures2	common	src/driver/vulkan.ab promoted feature query	src/driver/vulkan.ab Vulkan 12 and 13 feature-chain ABI	tests/vulkan/main.ab timeline and synchronization2 enablement	src/driver/vulkan.ab core-version gating
command	vkGetQueryPoolResults	common	src/driver/vulkan.ab timestamp readback	src/driver/vulkan.ab typed extern signature	tests/application/main.ab monotonic timestamp samples	tests/application/main.ab invalid query rejection
command	vkGetSemaphoreCounterValue	common	src/driver/vulkan.ab timeline counter query	src/driver/vulkan.ab typed extern signature	tests/vulkan/main.ab exact repeated timeline counters	tests/vulkan/main.ab invalid timeline rejection
command	vkQueueSubmit2	common	src/driver/vulkan.ab synchronization2 transfer submission	src/driver/vulkan.ab packed SubmitInfo2 ABI	tests/vulkan/main.ab GPU fill and readback with synchronization2	src/driver/vulkan.ab legacy submit fallback
command	vkSignalSemaphore	common	src/driver/vulkan.ab timeline host signal	src/driver/vulkan.ab packed semaphore signal ABI	tests/vulkan/main.ab repeated monotonic timeline signals	tests/vulkan/main.ab non-increasing signal rejection
command	vkWaitSemaphores	common	src/driver/vulkan.ab timeline host wait	src/driver/vulkan.ab packed semaphore wait ABI	tests/vulkan/main.ab repeated bounded timeline waits	tests/vulkan/main.ab negative value and timeout rejection
